"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","478","Проверка логина по негативным сценариям","SauceDemo suite","2026-06-10","passed","2026-06-10","tests.LoginTest","Regression","tests.LoginTest","chekLoginWithNegativeCred"
"","1768","Негативные сценарии для страницу Checkout Your Information","SauceDemo suite","2026-06-10","passed","2026-06-10","tests.CheckoutYourInformationTest","Regression","tests.CheckoutYourInformationTest","checkCheckoutYourInformationWithEmptyZipCode1"
"","985","Негативные сценарии для страницу Checkout Your Information","SauceDemo suite","2026-06-10","passed","2026-06-10","tests.CheckoutYourInformationTest","Regression","tests.CheckoutYourInformationTest","checkCheckoutYourInformationWithEmptyZipCode1"
"","786","Проверка перехода на странице Your Cart при клике на кнопку Cancel","SauceDemo suite","2026-06-10","passed","2026-06-10","tests.CheckoutYourInformationTest","Regression","tests.CheckoutYourInformationTest","checkTransitionFromCancelButton"
"","1490","Проверка перехода по кнопке Back Home со страницы Checkout Completed","SauceDemo suite","2026-06-10","passed","2026-06-10","tests.CheckoutCompleteTest","Regression","tests.CheckoutCompleteTest","checkTransitionByBackHomeButton"
"","463","Проверка логина по негативным сценариям","SauceDemo suite","2026-06-10","passed","2026-06-10","tests.LoginTest","Regression","tests.LoginTest","chekLoginWithNegativeCred"
"","893","Проверка перехода на страницу Product через clickAllItems","SauceDemo suite","2026-06-10","passed","2026-06-10","tests.BurgerMenuTest","Regression","tests.BurgerMenuTest","checkTransitionToAllItemsMenu"
"","3986","Проверка перехода на About Page","SauceDemo suite","2026-06-10","passed","2026-06-10","tests.BurgerMenuTest","Regression","tests.BurgerMenuTest","checkTransitionToAboutPage"
"","991","Негативные сценарии для страницу Checkout Your Information","SauceDemo suite","2026-06-10","passed","2026-06-10","tests.CheckoutYourInformationTest","Regression","tests.CheckoutYourInformationTest","checkCheckoutYourInformationWithEmptyZipCode1"
"","468","Проверка логина по негативным сценариям","SauceDemo suite","2026-06-10","passed","2026-06-10","tests.LoginTest","Regression","tests.LoginTest","chekLoginWithNegativeCred"
"","706","Проверка logout для зарегистрированного пользователя","SauceDemo suite","2026-06-10","passed","2026-06-10","tests.BurgerMenuTest","Regression","tests.BurgerMenuTest","checkLogout"
"","716","Проверка перехода на страницу Product при клике на кнопку Continue Shopping","SauceDemo suite","2026-06-10","passed","2026-06-10","tests.YourCartTest","Regression","tests.YourCartTest","continueShoppingButtonClick"
